FileID	Disk Offset	PackedSize	FileSize
0 dsk#	00000001	00000001	00000001
1 tpic	00000470	00000000	0000C840
2 flig	0000CCB0	00000000	0002A56E
3 floa	0003721E	00000000	000233AE
4 jarr	0005A5CC	00000000	00017F66
5 stra	00072532	00000000	0002B00C
6 thef	0009D53E	00000000	0001DD64
7 Free	000BB2A2	00000000	00020D5E
